Messort_Code;Messort_Name;Messort_Typ;Latitude;Longitude;Latitude_WGS84;Longitude_WGS84;X_LV95;Y_LV95;Messintervall;Gemeinde;Strasse_Nr;PLZ
76;Niederhasli-Seehalde;Schulhaus;47 28 21.1;8 29 19.3;47.47252778;8.488694444;2679159;1258502;Einmalige Messung;Niederhasli;NA;NA
77;Niederweningen-Schmittenwis;Schulhaus;47 30 23.2;8 22 49.4;47.50644444;8.380388889;2670950;1262169;Einmalige Messung;Niederweningen;NA;NA
78;Oberglatt-Primarschule;Schulhaus;47 28 37.1;8 31 03.1;47.47697222;8.517527778;2681326;1259026;Einmalige Messung;Oberglatt;NA;NA
79;Otelfingen-Ellenberg;Schulhaus;47 27 46.9;8 23 25.4;47.46302778;8.390388889;2671761;1257351;Einmalige Messung;Otelfingen;NA;NA
80;Regensberg-Schulhaus-Chratz;Schulhaus;47 29 01.3;8 26 16.2;47.48369444;8.437833333;2675309;1259693;Einmalige Messung;Regensberg;NA;NA
81;Regensdorf-Ruggenacher;Schulhaus;47 26 02.5;8 27 56.5;47.43402778;8.465694444;2677481;1254199;Einmalige Messung;Regensdorf;NA;NA
82;Rümlang-Worbiger;Schulhaus;47 27 01.5;8 31 40.7;47.45041667;8.527972222;2682154;1256084;Einmalige Messung;Rümlang;NA;NA
83;Schleinikon-Primarschule;Schulhaus;47 29 51.5;8 23 38.3;47.49763889;8.393972222;2671985;1261203;Einmalige Messung;Schleinikon;NA;NA
84;Stadel-Oberstufe;Schulhaus;47 32 11.1;8 28 02.8;47.53641667;8.467444444;2677464;1265584;Einmalige Messung;Stadel;NA;NA
85;Stadel-Primar;Schulhaus;47 32 05.9;8 28 03.2;47.53497222;8.467555556;2677474;1265423;Einmalige Messung;Stadel;NA;NA
86;Steinmaur;Schulhaus;47 29 38.7;8 26 55.7;47.49408333;8.448805556;2676121;1260859;Einmalige Messung;Steinmaur;NA;NA
87;Weiach-Hofwies;Schulhaus;47 33 22.3;8 26 13.2;47.55619444;8.437;2675144;1267753;Einmalige Messung;Weiach;NA;NA
